"metabolite","Bifidobacterium breve","Bifidobacterium dentium","Bifidobacterium longum","Eggerthella lenta","Escherichia coli","Haemophilus parainfluenzae","Prevotella denticola","Streptococcus salivarius","Veillonella atypica","Veillonella parvula"
"N-Acetylneuraminic acid",-0.0508632406731326,-0.188137768500472,-0.403474239740585,-0.353777074005787,-0.0238765611799463,-0.215561000902894,-0.0865389345560784,-0.142186819956623,-0.0941956951201101,-0.167601609423009
"N-Formyl-L-methionine",-0.0805587012007887,-0.104066639739947,-0.289131925007421,-0.22525508871153,-0.0762420081100347,-0.158444170510198,-0.294749822867656,0.0716871245951172,-0.0584940419341702,-0.30395392608145
"N6-Acetyl-L-lysine",-0.0794435647684692,-0.211726890254036,-0.40517172066002,-0.129274401923431,0.261793278886735,0.0250374336294546,-0.212917358394931,0.0886129743902861,0.0742594386267551,0.0998386742387598
"N6,N6,N6-Trimethyl-L-lysine",-0.0425308506813847,-0.220525826301659,-0.373440144006043,-0.156511307335035,0.0295358551311068,-0.0140306677228638,-0.000224479979723395,-0.0874226976045558,-0.0784302984275252,-0.0175619836612758
"N8-Acetylspermidine",0.077071777128155,0.0877387758897617,-0.265548256766733,-0.173468068303606,0.260293565989678,-0.145496426529757,0.0621124689658378,0.0657471308749418,0.0187348675290028,0.0719829057948796
"Orotidine",-0.0473197106902289,-0.19889012530171,-0.475153200698608,-0.288308178800714,0.165132538200913,-0.0882967495119576,-0.234094571397311,0.0148101185707728,-0.0134079541964974,-0.0438667501637573
"p-Hydroxyphenyllactic acid",0.105425677582412,0.0120166699420614,-0.118569042222558,-0.092697152149676,0.385720497829249,0.0223863416261467,0.0945821663719302,0.228097467386005,0.309607003200102,0.242474246937174
"Pantothenic acid",0.124371675749789,0.0248819104155763,-0.329237740863946,-0.397901552649947,0.292998625733434,-0.176149677818004,-0.179679102414192,0.161931746349574,0.167548425094524,0.0974272624612567
"Pentose alcohols",-0.0512425002719418,-0.267020657300232,-0.520577790102698,-0.294696513092851,0.129201680904995,-0.1876298530109,-0.163341525584832,-0.153013213112954,-0.0633449332241963,-0.125532096910325
"Phenylacetyl-L-glutamine",-0.321886678454994,-0.211294062331952,-0.500887011437248,-0.192413976682635,0.256954582558493,-0.0617621590145634,-0.156180994706198,-0.0520276247657353,-0.0689665268687126,-0.157497454439809
"Phenyllactic acid",0.00968244095168809,-0.0909735950969138,-0.280497405397226,-0.187836054816248,0.15126726802057,-0.0105629447006799,-0.0146064176636969,0.0396464681524456,0.0670057694080244,0.0829984159334269
"Pseudouridine",0.00483697503257379,-0.181753556649737,-0.434424975171623,-0.283551521949619,0.107254938962394,-0.0604366130129095,-0.0698817591115187,-0.0445499529013151,-0.103523460381072,-0.0460913624373694
"Pyridoxic acid",0.163158045466812,0.00791619489074184,-0.351022079330033,-0.275087555577003,0.183293212490187,-0.116227897403951,-0.0942245203025404,0.0520105394530215,0.096020446282947,0.0510726825411317
"Quinolinic acid",-0.0427176501852758,-0.140133734878844,-0.441033834217958,-0.273034986075197,0.266281098990006,-0.054021917183477,-0.197439654030274,0.0522895995606807,0.121725636576824,0.0566936494309454
"Tartaric acid",0.0014802445535612,-0.0887752848610675,-0.262515424190675,-0.216814184917586,0.145143911965414,-0.285069319364622,-0.257706821467877,-0.0512929563190406,-0.119866883839524,-0.180343599824792
"Thiodiacetic acid",-0.020069625486238,-0.234456051267669,-0.130745638684641,-0.283205583269539,0.0218844897091378,-0.14697583054946,-0.143587287369173,-0.12039735114225,-0.153970463025712,0.0174714142048438
"Threitol",-7.64179788645362e-05,-0.178222592022212,-0.436043240314818,-0.244668014308666,0.137724577595443,-0.0514891775017454,-0.126549637382709,-0.0185973628890054,-0.025206500535089,-0.0623599010489751
