"metabolite","Bifidobacterium breve","Bifidobacterium dentium","Bifidobacterium longum","Eggerthella lenta","Escherichia coli","Haemophilus parainfluenzae","Prevotella denticola","Streptococcus salivarius","Veillonella atypica","Veillonella parvula"
"N-Acetylglycine",0.68558073303267,0.816313383706683,0.13755376750189,0.368771582805513,0.724747772828001,0.614083543481342,0.920398846364207,0.675235744173476,0.0212757611444484,0.343391824193201
"N-Acetylneuraminic acid",0.67283682305481,0.160254858001721,0.000287359358290595,0.00145562903894337,0.811723311763688,0.108403028781595,0.53228947882714,0.282318379333202,0.53228947882714,0.202900009964525
"N-Formyl-L-methionine",0.557321043056422,0.546192356915289,0.0117530700093873,0.06278295527171,0.557321043056422,0.245763630700997,0.0117530700093873,0.557321043056422,0.559233520983648,0.0117530700093873
"N6-Acetyl-L-lysine",0.504052458348209,0.0898090607685361,0.000263723302802224,0.429736607729675,0.0432433725757721,0.802751007165573,0.0898090607685361,0.504052458348209,0.504052458348209,0.504052458348209
"N6,N6,N6-Trimethyl-L-lysine",0.977557930396042,0.142618810138333,0.00121743050635603,0.426085559011421,0.977557930396042,0.977557930396042,0.998213382431002,0.953265559160264,0.953265559160264,0.977557930396042
"N8-Acetylspermidine",0.588658162085273,0.588658162085273,0.0453104178392371,0.29784284479264,0.0453104178392371,0.397472134890365,0.588658162085273,0.588658162085273,0.851741146937481,0.588658162085273
"Orotidine",0.893599646168133,0.123941510660884,4.95836352029398e-06,0.0181363378347426,0.213827623795279,0.692106826896206,0.0655578701177109,0.893599646168133,0.893599646168133,0.893599646168133
"p-Hydroxyphenyllactic acid",0.432796261810357,0.904585342170148,0.432796261810357,0.432796261810357,0.000686088230066858,0.904585342170148,0.432796261810357,0.0580904359894903,0.00848494508155558,0.0515931357394616
"Pantothenic acid",0.292826945309528,0.884346736444646,0.00400303770451785,0.000379654015056203,0.0102778297265589,0.163340990177674,0.163340990177674,0.163340990177674,0.163340990177674,0.403305287327841
"Pentose alcohols",0.669915054622629,0.0244493262572841,2.2454667356878e-07,0.0145265844690406,0.28695337558931,0.162165565179672,0.222040353079754,0.22860455170869,0.644181919222191,0.28695337558931
"Phenylacetyl-L-glutamine",0.00533483309796296,0.0908149160282434,9.07696811454313e-07,0.115910420084314,0.0334852989586126,0.591198583320584,0.183836751466348,0.603531183561637,0.591198583320584,0.183836751466348
"Phenyllactic acid",0.923056032198593,0.895201282726105,0.0472612452011066,0.322775257624223,0.473382546643808,0.923056032198593,0.923056032198593,0.923056032198593,0.922914416535112,0.895201282726105
"Pseudouridine",0.961517590922893,0.247540207489218,5.57211664133143e-05,0.0213263931160105,0.661024713480768,0.727853249613955,0.727853249613955,0.727853249613955,0.661024713480768,0.727853249613955
"Pyridoxic acid",0.278619368254583,0.937060038365597,0.0032749695090933,0.0282628695231772,0.238998824705843,0.538335164964742,0.544024587944055,0.671222621842925,0.544024587944055,0.671222621842925
"Quinolinic acid",0.669885863692676,0.352190268362386,3.84246392422288e-05,0.0250307896264722,0.0250307896264722,0.661877365092849,0.128400010660965,0.661877365092849,0.408718086787455,0.661877365092849
"Tartaric acid",0.988219268098387,0.458238981465988,0.0327205967112867,0.0786742124960215,0.266788850925621,0.0327205967112867,0.0327205967112867,0.669526766990042,0.361642508348278,0.15334649158558
"Thiodiacetic acid",0.861636597165521,0.0973412801523671,0.348802512354052,0.0431537798904154,0.861636597165521,0.329857622371311,0.329857622371311,0.358388213869654,0.329857622371311,0.861636597165521
"Threitol",0.999391795191962,0.268064172752278,5.09106836415113e-05,0.0725929094797588,0.450996190869874,0.954310962787505,0.450996190869874,0.999391795191962,0.999391795191962,0.954310962787505
